fattahsir constructor
azizsir inheritence
1707031 1307071
1707032 2307071
1707033 3307071
1707034 4307071
1707035 5307071
1707036 6307071
1707037 7307071
1707038 8307071
1707039 9307071
1707040 0407071
1707041 1407071
1707042 2407071
1707043 3407071
1707044 4407071
1707045 5407071
1707046 6407071
1707047 7407071
1707048 8407071
1707049 9407071
1707050 0507071
1707051 1507071
1707052 2507071
1707053 3507071
1707054 4507071
1707055 5507071
1707056 6507071
1707057 7507071
1707058 8507071
1707059 9507071
1707060 0607071
